frame.time_epoch,ip.src,ip.dst,frame.len,tcp.port,udp.port,ip.proto,frame.time_delta,tcp.flags,ip.len,icmp.type,tcp.stream,tcp.seq,tcp.ack,ip.flags.df,tcp.window_size,ip.ttl,tcp.analysis.flags,http.request.uri,http.response.code,anomaly
1762618222.658365000,172.17.19.207,192.34.20.166,54,59282.0,,6,0.000074000,0x0010,40,,1,1426,9096,True,255,128,,,,-1
1762618222.658406000,172.17.19.207,192.34.20.166,54,57889.0,,6,0.000041000,0x0010,40,,3,682,6077,True,255,128,,,,-1
1762618222.659055000,172.17.19.207,192.34.20.166,376,59282.0,,6,0.000649000,0x0018,362,,1,1426,9096,True,255,128,,,,-1
1762618222.659130000,172.17.19.207,192.34.20.166,1537,58532.0,,6,0.000075000,0x0018,1523,,14,1,1,True,65280,128,,,,-1
1762618222.659190000,172.17.19.207,192.34.20.166,413,59282.0,,6,0.000060000,0x0018,399,,1,1748,9096,True,255,128,,,,-1
1762618222.778349000,172.17.19.207,142.251.221.164,71,,60621.0,17,0.119159000,,57,,,,,True,,128,,,,-1
1762618222.780347000,172.17.19.207,104.21.4.238,746,,59719.0,17,0.001998000,,732,,,,,True,,128,,,,-1
1762618222.835384000,172.17.19.207,35.186.224.22,55,59213.0,,6,0.023777000,0x0010,41,,15,1,1,True,255,128,,,,-1
1762618222.857432000,172.17.23.136,224.0.0.252,75,,55558.0,17,0.000187000,,61,,,,,False,,1,,,,-1
1762618222.858044000,172.17.19.154,172.17.23.255,86,,57621.0,17,0.000166000,,72,,,,,False,,128,,,,-1
1762618222.858734000,172.17.22.140,255.255.255.255,82,,55161.0,17,0.000563000,,68,,,,,False,,128,,,,-1
1762618222.858808000,172.17.22.140,172.17.23.255,82,,55160.0,17,0.000074000,,68,,,,,False,,128,,,,-1
1762618222.860627000,172.17.19.207,104.26.0.211,711,,54247.0,17,0.000807000,,697,,,,,True,,128,,,,-1
1762618222.868782000,172.17.19.207,23.202.229.138,55,51398.0,,6,0.001405000,0x0010,41,,16,1,1,True,251,128,,,,-1
1762618222.902041000,172.17.19.207,192.34.20.166,54,58532.0,,6,0.000092000,0x0010,40,,14,1484,4097,True,65280,128,,,,-1
1762618222.902859000,172.17.19.207,192.34.20.166,54,58532.0,,6,0.000037000,0x0010,40,,14,1484,4235,True,65280,128,,,,-1
1762618222.904726000,172.17.19.207,192.34.20.166,134,58532.0,,6,0.001867000,0x0018,120,,14,1484,4235,True,65280,128,,,,-1
1762618222.910633000,172.17.19.207,192.34.20.166,54,59282.0,,6,0.000035000,0x0010,40,,1,2107,12016,True,255,128,,,,-1
1762618222.911262000,172.17.19.207,192.34.20.166,78,59282.0,,6,0.000241000,0x0018,64,,1,2107,12117,True,255,128,,,,-1
1762618222.911316000,172.17.19.207,192.34.20.166,54,59282.0,,6,0.000054000,0x0011,40,,1,2131,12117,True,255,128,,,,-1
1762618223.019838000,172.17.19.207,104.26.0.211,86,,54247.0,17,0.035619000,,72,,,,,True,,128,,,,-1
1762618223.052450000,172.17.19.207,104.21.4.238,86,,59719.0,17,0.000534000,,72,,,,,True,,128,,,,-1
1762618223.052672000,172.17.19.207,104.21.4.238,86,,59719.0,17,0.000222000,,72,,,,,True,,128,,,,-1
1762618223.052751000,172.17.19.207,104.21.4.238,88,,59719.0,17,0.000079000,,74,,,,,True,,128,,,,-1
1762618223.053563000,172.17.19.207,104.21.4.238,90,,59719.0,17,0.000812000,,76,,,,,True,,128,,,,-1
1762618223.063004000,172.17.17.16,224.0.0.252,65,,56931.0,17,0.000111000,,51,,,,,False,,1,,,,-1
1762618223.063524000,172.17.23.136,224.0.0.252,75,,64243.0,17,0.000436000,,61,,,,,False,,1,,,,-1
1762618223.063814000,172.17.22.140,255.255.255.255,82,,55161.0,17,0.000290000,,68,,,,,False,,128,,,,-1
1762618223.064047000,172.17.22.140,172.17.23.255,82,,55160.0,17,0.000233000,,68,,,,,False,,128,,,,-1
1762618223.139738000,172.17.19.207,192.34.20.166,54,58532.0,,6,0.000040000,0x0010,40,,14,1564,4393,True,65024,128,,,,-1
1762618223.155282000,172.17.19.207,192.34.20.166,54,59282.0,,6,0.000042000,0x0010,40,,1,2132,12118,True,255,128,,,,-1
1762618223.267279000,172.17.20.157,172.17.23.255,86,,57621.0,17,0.000308000,,72,,,,,False,,128,,,,-1
1762618223.280599000,172.17.17.104,224.0.0.251,108,,59177.0,17,0.000000000,,94,,,,,False,,1,,,,-1
1762618223.280599000,172.17.22.140,172.17.23.255,82,,55160.0,17,0.000000000,,68,,,,,False,,128,,,,-1
1762618223.280599000,172.17.22.140,255.255.255.255,82,,55161.0,17,0.000000000,,68,,,,,False,,128,,,,-1
1762618223.280599000,172.17.16.197,172.17.23.255,82,,50487.0,17,0.000000000,,68,,,,,False,,128,,,,-1
1762618223.280599000,172.17.16.197,255.255.255.255,82,,50488.0,17,0.000000000,,68,,,,,False,,128,,,,-1
1762618223.447667000,172.17.19.207,192.34.20.166,400,58532.0,,6,0.167068000,0x0018,386,,14,1564,4393,True,65024,128,,,,-1
1762618223.447753000,172.17.19.207,192.34.20.166,436,58532.0,,6,0.000086000,0x0018,422,,14,1910,4393,True,65024,128,,,,-1
1762618223.448178000,172.17.19.207,192.34.20.166,400,57889.0,,6,0.000425000,0x0018,386,,3,682,6077,True,255,128,,,,-1
1762618223.448210000,172.17.19.207,192.34.20.166,277,57889.0,,6,0.000032000,0x0018,263,,3,1028,6077,True,255,128,,,,-1
1762618223.451685000,172.17.19.207,192.34.20.166,66,58547.0,,6,0.003475000,0x0002,52,,17,0,0,True,65535,128,,,,-1
1762618223.455808000,172.17.19.207,35.223.238.178,385,58269.0,,6,0.004123000,0x0018,371,,18,1,1,True,254,128,,,,-1
1762618223.455918000,172.17.19.207,35.223.238.178,3634,58269.0,,6,0.000110000,0x0018,3620,,18,332,1,True,254,128,,,,-1
1762618223.455959000,172.17.19.207,35.223.238.178,1611,58269.0,,6,0.000041000,0x0018,1597,,18,3912,1,True,254,128,,,,-1
1762618223.473901000,172.17.17.16,224.0.0.252,65,,56931.0,17,0.000000000,,51,,,,,False,,1,,,,-1
1762618223.475709000,172.17.19.207,35.223.238.178,386,58271.0,,6,0.000449000,0x0018,372,,19,1,1,True,255,128,,,,-1
1762618223.475790000,172.17.19.207,35.223.238.178,2448,58271.0,,6,0.000081000,0x0018,2434,,19,333,1,True,255,128,,,,-1
1762618223.475814000,172.17.19.207,35.223.238.178,3634,58271.0,,6,0.000024000,0x0018,3620,,19,2727,1,True,255,128,,,,-1
1762618223.475833000,172.17.19.207,35.223.238.178,4820,58271.0,,6,0.000019000,0x0018,4806,,19,6307,1,True,255,128,,,,-1
1762618223.475864000,172.17.19.207,35.223.238.178,4314,58271.0,,6,0.000031000,0x0010,4300,,19,11073,1,True,255,128,,,,-1
1762618223.480306000,172.17.23.84,239.255.255.250,212,,49154.0,17,0.000000000,,198,,,,,False,,1,,*,,-1
1762618223.480306000,172.17.22.140,172.17.23.255,82,,55160.0,17,0.000000000,,68,,,,,False,,128,,,,-1
1762618223.480306000,172.17.22.140,255.255.255.255,82,,55161.0,17,0.000000000,,68,,,,,False,,128,,,,-1
1762618223.480306000,172.17.23.136,224.0.0.252,75,,64243.0,17,0.000000000,,61,,,,,False,,1,,,,-1
1762618223.677599000,172.17.20.237,172.17.23.255,86,,57621.0,17,0.000136000,,72,,,,,False,,64,,,,-1
1762618223.677669000,172.17.20.237,172.17.23.255,86,,57621.0,17,0.000070000,,72,,,,,False,,64,,,,-1
1762618223.678521000,172.17.17.104,224.0.0.251,108,,59177.0,17,0.000275000,,94,,,,,False,,1,,,,-1
1762618223.678521000,172.17.20.157,239.255.255.250,167,,51563.0,17,0.000000000,,153,,,,,False,,255,,*,,-1
1762618223.678780000,172.17.17.104,224.0.0.251,106,,59177.0,17,0.000259000,,92,,,,,False,,1,,,,-1
1762618223.680344000,172.17.22.140,172.17.23.255,82,,55160.0,17,0.000000000,,68,,,,,False,,128,,,,-1
1762618223.680344000,172.17.22.140,255.255.255.255,82,,55161.0,17,0.000000000,,68,,,,,False,,128,,,,-1
1762618223.780897000,172.17.19.207,35.223.238.178,1474,58271.0,,6,0.000181000,0x0010,1460,,19,15333,1,True,255,128,,,,-1
1762618223.780953000,172.17.19.207,192.34.20.166,54,58532.0,,6,0.000056000,0x0010,40,,14,2292,7446,True,65280,128,,,,-1
1762618223.780968000,172.17.19.207,192.34.20.166,54,58547.0,,6,0.000015000,0x0010,40,,17,1,1,True,65280,128,,,,-1
1762618223.780981000,172.17.19.207,192.34.20.166,54,57889.0,,6,0.000013000,0x0010,40,,3,1251,9092,True,255,128,,,,-1
1762618223.780997000,172.17.19.207,35.223.238.178,28454,58271.0,,6,0.000016000,0x0018,28440,,19,16753,1,True,255,128,,,,-1
1762618223.781199000,172.17.19.207,192.34.20.166,375,58532.0,,6,0.000202000,0x0018,361,,14,2292,7446,True,65280,128,,,,-1
1762618223.781252000,172.17.19.207,192.34.20.166,156,58532.0,,6,0.000053000,0x0018,142,,14,2613,7446,True,65280,128,,,,-1
1762618223.781283000,172.17.19.207,192.34.20.166,1537,58547.0,,6,0.000031000,0x0018,1523,,17,1,1,True,65280,128,,,,-1
1762618223.832399000,172.17.19.207,35.223.238.178,54,58269.0,,6,0.046642000,0x0010,40,,18,5469,304,True,253,128,,,,-1
1762618223.881933000,172.17.17.104,224.0.0.251,110,,59177.0,17,0.000584000,,96,,,,,False,,1,,,,-1
1762618223.882194000,172.17.17.104,224.0.0.251,106,,59177.0,17,0.000261000,,92,,,,,False,,1,,,,-1
1762618223.882884000,172.17.23.136,224.0.0.252,75,,50346.0,17,0.000000000,,61,,,,,False,,1,,,,-1
1762618223.912952000,172.17.19.207,13.67.9.5,54,62603.0,,6,0.029378000,0x0010,40,,20,835,379,True,255,128,,,,-1
1762618224.086223000,172.17.22.140,255.255.255.255,82,,55161.0,17,0.000000000,,68,,,,,False,,128,,,,-1
1762618224.086359000,172.17.22.140,172.17.23.255,82,,55160.0,17,0.000136000,,68,,,,,False,,128,,,,-1
1762618224.093074000,172.17.17.204,239.255.255.250,167,,60924.0,17,0.006715000,,153,,,,,False,,255,,*,,-1
1762618224.093899000,172.17.19.207,35.223.238.178,1474,58271.0,,6,0.000825000,0x0010,1460,,19,45153,1,True,255,128,,,,-1
1762618224.094019000,172.17.19.207,35.223.238.178,38394,58271.0,,6,0.000120000,0x0018,38380,,19,46573,1,True,255,128,,,,-1
1762618224.094083000,172.17.19.207,192.34.20.166,54,58547.0,,6,0.000064000,0x0010,40,,17,1484,4235,True,65280,128,,,,-1
1762618224.094142000,172.17.19.207,192.34.20.166,54,58532.0,,6,0.000059000,0x0010,40,,14,2715,10473,True,65280,128,,,,-1
1762618224.096766000,172.17.19.207,192.34.20.166,134,58547.0,,6,0.002624000,0x0018,120,,17,1484,4235,True,65280,128,,,,-1
1762618224.096868000,172.17.19.207,192.34.20.166,78,58547.0,,6,0.000102000,0x0018,64,,17,1564,4235,True,65280,128,,,,-1
1762618224.096961000,172.17.19.207,192.34.20.166,54,58547.0,,6,0.000093000,0x0011,40,,17,1588,4235,True,65280,128,,,,-1
1762618224.292890000,172.17.22.140,255.255.255.255,82,,55161.0,17,0.000000000,,68,,,,,False,,128,,,,-1
